GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
23,ME,Maine,2014,66,6,Y,51,9,Y,15,3,Y,10,5,N,19,12,Y,21,13,Y,10,5,N,6,1,N
24,MD,Maryland,2014,532,11,Y,351,15,Y,181,7,Y,62,7,Y,214,26,Y,121,16,Y,81,9,Y,54,3,Y
25,MA,Massachusetts,2014,1806,31,Y,1178,42,Y,628,21,Y,332,30,Y,661,72,Y,368,44,Y,315,32,Y,131,7,Y
26,MI,Michigan,2014,489,6,Y,342,8,Y,147,3,Y,78,5,Y,163,14,Y,113,10,Y,92,7,Y,43,1,Y
27,MN,Minnesota,2014,407,9,Y,302,14,Y,105,5,Y,55,6,Y,159,21,Y,94,14,Y,75,10,Y,25,2,Y
28,MS,Mississippi,2014,111,4,Y,67,6,Y,44,3,Y,22,4,Y,37,10,Y,30,8,Y,20,5,Y,3,0,N
29,MO,Missouri,2014,326,6,Y,238,10,Y,88,3,Y,55,6,Y,97,12,Y,94,13,Y,54,7,Y,26,2,Y
30,MT,Montana,2014,20,2,Y,14,3,Y,6,1,N,2,1,N,10,8,N,4,3,N,3,2,N,1,0,N
31,NE,Nebraska,2014,63,4,Y,42,6,Y,21,3,Y,10,3,N,30,12,Y,16,7,Y,6,3,N,1,0,N
32,NV,Nevada,2014,149,6,Y,117,10,Y,32,3,Y,10,2,N,57,14,Y,42,11,Y,33,9,Y,6,1,N
33,NH,New Hampshire,2014,109,10,Y,74,13,Y,35,6,Y,19,9,Y,38,24,Y,27,17,Y,15,7,Y,10,2,N
34,NJ,New Jersey,2014,842,11,Y,576,16,Y,266,7,Y,141,10,Y,303,26,Y,204,17,Y,134,10,Y,62,3,Y
35,NM,New Mexico,2014,92,5,Y,61,7,Y,31,4,Y,9,3,N,30,11,Y,27,11,Y,13,5,Y,13,2,Y
36,NY,New York,2014,4253,25,Y,3156,39,Y,1097,13,Y,727,23,Y,1671,59,Y,998,40,Y,615,22,Y,239,4,Y
37,NC,North Carolina,2014,542,7,Y,374,9,Y,168,4,Y,88,5,Y,171,13,Y,155,12,Y,104,8,Y,25,1,Y
38,ND,North Dakota,2014,21,3,Y,16,5,Y,5,2,N,2,1,N,13,12,Y,4,5,N,1,1,N,1,1,N
39,OH,Ohio,2014,673,7,Y,490,10,Y,183,4,Y,107,6,Y,264,18,Y,175,12,Y,97,6,Y,27,1,Y
40,OK,Oklahoma,2014,113,4,Y,88,6,Y,25,2,Y,13,2,Y,43,8,Y,29,6,Y,21,4,Y,6,1,N
41,OR,Oregon,2014,314,9,Y,221,13,Y,93,5,Y,53,9,Y,109,20,Y,72,14,Y,59,12,Y,20,2,Y
